time,downrange,altitude
614,1854.3698706339924,218.0
615,1854.3698706339924,218.0
616,1854.3698706339924,218.0
617,1854.3698706339924,218.0
618,1854.3698706339924,218.0
619,1854.3698706339924,218.0
620,1854.3698706339924,218.0
621,1854.3698706339924,218.0
622,1854.3698706339924,218.0
623,1854.3698706339924,218.0
624,1854.3698706339924,218.0
625,1854.3698706339924,218.0
626,1854.3698706339924,218.0
627,1854.3698706339924,218.0
628,1854.3698706339924,218.0
629,1854.3698706339924,218.0
630,1854.3698706339924,218.0
631,1854.3698706339924,218.0
632,1854.3698706339924,218.0
633,1854.3698706339924,218.0
634,1854.3698706339924,218.0
635,1881.508866488666,219.0
636,1881.508866488666,219.0
637,1881.508866488666,219.0
638,1881.508866488666,219.0
639,1881.508866488666,219.0
640,1881.508866488666,219.0
641,1881.508866488666,219.0
642,1881.508866488666,219.0
643,1881.508866488666,219.0
644,1881.508866488666,219.0
