Time,Altitude KM,Speed KM/H
00:14:06,222,27120
00:14:07,222,27120
00:14:08,222,27120
00:14:09,222,27120
00:14:10,222,27119
00:14:11,222,27119
00:14:12,222,27119
00:14:12,222,27119
00:14:13,222,27119
00:14:14,222,27118
00:14:15,222,27118
00:14:16,222,27118
00:14:17,223,27118
00:14:18,223,27118
00:14:19,223,27117
00:14:20,223,27117
00:14:21,223,27117
00:14:22,223,27117
00:14:23,223,27117
00:14:24,223,27116
00:14:25,223,27116
00:14:26,223,27116
00:14:27,223,27116
00:14:28,223,27116
00:14:29,223,27115
00:14:30,223,27115
00:14:31,223,27115
00:14:32,223,27115
00:14:33,223,27115
00:14:34,223,27114
00:14:35,223,27114
00:14:36,223,27114
00:14:37,223,27114
00:14:38,223,27113
00:14:39,223,27113
00:14:40,223,27113
00:14:41,223,27113
00:14:42,223,27112
00:14:43,223,27112
00:14:44,223,27112
00:14:45,223,27112
00:14:47,224,27111
00:14:48,224,27111
00:14:49,224,27111
00:14:50,224,27111
00:14:51,224,27111
00:14:52,224,27110
00:14:53,224,27110
00:14:54,224,27110
00:14:55,224,27110
00:14:56,224,27110
00:14:57,224,27109
00:14:58,224,27109
00:14:59,224,27109
