time,horizontal_speed,altitude
509,27421.9981766,169.0
510,27420.9981766,169.0
511,27420.9981766,170.0
512,27420.9981766,170.0
513,27420.9981766,170.0
514,27420.9981766,170.0
515,27420.9981766,170.0
516,27420.9981766,170.0
517,27419.9981765,170.0
518,27419.9981765,170.0
519,27419.9981765,170.0
520,27419.9981765,170.0
521,27419.9981765,170.0
522,27419.9981765,170.0
523,27419.9981765,170.0
524,27418.9981764,170.0
525,27418.9981764,170.0
526,27418.9981764,170.0
527,27418.9981764,170.0
528,27418.9981764,170.0
529,27418.9985592,170.0
530,27418.9990488,170.0
