time,horizontal_speed,vertical_speed,altitude
387,21371.0,316.666666667,169.0
388,21476.0,305.555555556,169.0
389,21581.8988294,300.0,168.0
390,21688.1292125,300.0,168.0
391,21795.0,294.444444444,168.0
392,21902.0,283.333333333,168.0
393,22010.0,266.666666667,168.0
394,22122.0,255.555555556,168.0
395,22233.4676805,250.0,168.0
396,22345.0,250.0,168.0
397,22459.0,250.0,168.0
398,22575.0,244.444444444,168.0
399,22691.0,233.333333333,168.0
400,22809.9743746,216.666666667,168.0
401,22929.0,205.555555556,168.0
402,23049.0,200.0,168.0
403,23170.0,200.0,168.0
404,23292.4456518,200.0,168.0
405,23415.7509862,194.444444444,168.0
406,23540.4111548,183.333333333,168.0
407,23666.0,166.666666667,168.0
408,23792.0,155.555555556,168.0
409,23919.0,155.555555556,168.0
410,24052.0,166.666666667,168.0
411,24184.6807334,183.333333333,168.0
412,24317.704346,194.444444444,168.0
413,24452.2408381,200.0,168.0
414,24588.0,200.0,168.0
415,24724.0,194.444444444,168.0
416,24862.0,183.333333333,168.0
417,25004.0,166.666666667,168.0
418,25146.0,155.555555556,168.0
419,25290.0,150.0,168.0
420,25435.0,150.0,168.0
421,25582.0,150.0,168.0
422,25732.0,150.0,168.0
423,25884.0,150.0,168.0
424,26039.4995467,150.0,168.0
425,26195.0,150.0,168.0
426,26350.0,150.0,168.0
427,26505.0,144.444444444,168.0
428,26662.0,133.333333333,168.0
429,26822.0,116.666666667,168.0
430,26990.1257106,105.555555556,168.0
431,27119.0864892,100.0,168.0
432,27227.8577672,100.0,168.0
433,27314.4488751,100.0,168.0
434,27378.1119933,100.0,168.0
435,27419.7512086,100.0,168.0
436,27428.0,100.0,168.0
437,27429.0,100.0,168.0
438,27428.0,100.0,168.0
439,27428.0,100.0,168.0
440,27428.0,100.0,168.0
441,27428.0,100.0,168.0
442,27428.0,100.0,168.0
443,27428.0,100.0,168.0
444,27427.9707261,100.0,168.0
445,27427.9746476,100.0,168.0
446,27427.998177,100.0,168.0
447,27428.0,100.0,168.0
448,27428.0,100.0,168.0
449,27428.0,100.0,168.0
450,27428.0,100.0,168.0
451,27427.9532298,100.0,168.0
452,27427.8458392,100.0,168.0
453,27427.7158241,100.0,168.0
454,27427.5722343,100.0,168.0
455,27427.0,100.0,168.0
456,27427.0,100.0,168.0
457,27427.0,100.0,168.0
458,27427.0,100.0,168.0
459,27427.0,100.0,168.0
460,27426.998177,100.0,168.0
461,27426.9779658,100.0,168.0
462,27426.9297004,100.0,168.0
463,27426.8458391,100.0,168.0
464,27426.715824,100.0,168.0
465,27426.5722343,100.0,168.0
466,27426.0,100.0,168.0
467,27426.0,100.0,168.0
468,27426.0,100.0,168.0
469,27426.0,100.0,168.0
470,27426.0,100.0,168.0
471,27425.9981769,100.0,168.0
472,27425.9779657,100.0,169.0
473,27425.9297003,100.0,169.0
474,27425.845839,100.0,169.0
475,27425.715824,100.0,169.0
476,27425.5722342,100.0,169.0
477,27425.0,100.0,169.0
478,27425.0,100.0,169.0
479,27425.0,100.0,169.0
480,27425.0,100.0,169.0
481,27424.9981768,100.0,169.0
482,27424.8874679,100.0,169.0
483,27424.7948586,100.0,169.0
484,27424.6922945,100.0,169.0
485,27424.5722341,100.0,169.0
486,27424.0,100.0,169.0
487,27424.0,100.0,169.0
488,27424.0,100.0,169.0
489,27424.0,100.0,169.0
490,27423.9224603,100.0,169.0
491,27423.7800772,100.0,169.0
492,27423.6648434,100.0,169.0
493,27423.5487047,100.0,169.0
494,27423.0,100.0,169.0
495,27423.0,100.0,169.0
496,27423.0,100.0,169.0
497,27423.0,100.0,169.0
498,27422.9981767,100.0,169.0
499,27422.8874678,100.0,169.0
500,27422.7948584,100.0,169.0
501,27422.6922943,100.0,169.0
502,27422.5957634,100.0,169.0
503,27422.0,100.0,169.0
504,27422.0,100.0,169.0
505,27422.0,100.0,169.0
506,27421.9981766,100.0,169.0
507,27421.8150695,100.0,169.0
508,27421.650062,100.0,169.0
509,27421.544783,100.0,169.0
510,27421.0,100.0,169.0
511,27421.0,100.0,170.0
512,27421.0,100.0,170.0
513,27420.9981766,100.0,170.0
514,27420.8150695,100.0,170.0
515,27420.6500619,100.0,170.0
516,27420.5447829,100.0,170.0
517,27420.0,100.0,170.0
518,27420.0,100.0,170.0
519,27420.0,100.0,170.0
520,27419.9981765,100.0,170.0
521,27419.8150604,100.0,170.0
522,27419.6500308,100.0,170.0
523,27420.0,100.0,170.0
524,27419.0,100.0,170.0
525,27419.0,100.0,170.0
526,27419.0,100.0,170.0
527,27418.770465,100.0,170.0
528,27416.209989,100.0,170.0
529,27412.4379192,88.8888888889,170.0
530,27407.2615271,72.2222222222,170.0
